"Test Case ID","UniqueId","TimeDifference","TotalMemory","FreeMemory"
"LinkedList 10000 insert","105","31210","128974848","120775776"
"LinkedList 10000 insert","106","34370","128974848","120775776"
"LinkedList 10000 insert","107","37136","128974848","120775776"
"LinkedList 10000 insert","108","40296","128974848","120775776"
"LinkedList 10000 insert","109","43062","128974848","120775776"
"LinkedList 10000 insert","110","48988","128974848","120775776"
"LinkedList 10000 insert","111","51753","128974848","120775776"
"LinkedList 10000 insert","112","54519","128974848","120775776"
"LinkedList 10000 insert","113","57679","128974848","120775776"
"LinkedList 10000 insert","114","61630","128974848","120775776"
"LinkedList 10000 insert","115","64790","128974848","120775776"
"LinkedList 10000 insert","116","67556","128974848","120775776"
"LinkedList 10000 insert","117","70321","128974848","120775776"
"LinkedList 10000 insert","118","73481","128974848","120775776"
"LinkedList 10000 insert","119","76247","128974848","120775776"
"LinkedList 10000 insert","120","80988","128974848","120775776"
"LinkedList 10000 insert","121","83753","128974848","120775776"
"LinkedList 10000 insert","122","86914","128974848","120775776"
"LinkedList 10000 insert","123","89679","128974848","120775776"
"LinkedList 10000 insert","124","92840","128974848","120775776"
"LinkedList 10000 insert","125","105482","128974848","120775776"
"LinkedList 10000 insert","126","110222","128974848","120775776"
"LinkedList 10000 insert","127","112988","128974848","120775776"
"LinkedList 10000 insert","128","120889","128974848","120775776"
"LinkedList 10000 insert","129","124444","128974848","120775776"
"LinkedList 10000 insert","130","131556","128974848","120775776"
"LinkedList 10000 insert","131","136296","128974848","120775776"
"LinkedList 10000 insert","132","139062","128974848","120775776"
"LinkedList 10000 insert","133","142222","128974848","120775776"
"LinkedList 10000 insert","134","144988","128974848","120775776"
"LinkedList 10000 insert","135","149333","128974848","120775776"
"LinkedList 10000 insert","136","153679","128974848","120775776"
"LinkedList 10000 insert","137","160790","128974848","120775776"
"LinkedList 10000 insert","138","165531","128974848","120775776"
"LinkedList 10000 insert","139","170272","128974848","120775776"
"LinkedList 10000 insert","140","175012","128974848","120775776"
"LinkedList 10000 insert","141","180938","128974848","120775776"
"LinkedList 10000 insert","142","184889","128974848","120775776"
"LinkedList 10000 insert","143","192790","128974848","120775776"
