Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
Immutable 10000 insert,63,126100,8474939392,1431277568
Immutable 10000 insert,64,127100,8474939392,1431277568
Immutable 10000 insert,65,128000,8474939392,1431277568
Immutable 10000 insert,66,128900,8474939392,1431277568
Immutable 10000 insert,67,129900,8474939392,1431277568
Immutable 10000 insert,68,130800,8474939392,1431277568
Immutable 10000 insert,69,132000,8474939392,1431277568
Immutable 10000 insert,70,132900,8474939392,1431277568
Immutable 10000 insert,71,133900,8474939392,1431277568
Immutable 10000 insert,72,134800,8474939392,1431277568
Immutable 10000 insert,73,135800,8474939392,1431277568
Immutable 10000 insert,74,136700,8474939392,1431277568
Immutable 10000 insert,75,137600,8474939392,1431277568
Immutable 10000 insert,76,139600,8474939392,1431277568
Immutable 10000 insert,77,140600,8474939392,1431277568
Immutable 10000 insert,78,141500,8474939392,1431277568
Immutable 10000 insert,79,142400,8474939392,1431277568
Immutable 10000 insert,80,143400,8474939392,1431277568
Immutable 10000 insert,81,144300,8474939392,1431277568
Immutable 10000 insert,82,145200,8474939392,1431277568
Immutable 10000 insert,83,146200,8474939392,1431277568
Immutable 10000 insert,84,147100,8474939392,1431277568
Immutable 10000 insert,85,148100,8474939392,1431277568
Immutable 10000 insert,86,149000,8474939392,1431277568
Immutable 10000 insert,87,149900,8474939392,1431277568
Immutable 10000 insert,88,151000,8474939392,1431277568
Immutable 10000 insert,89,152000,8474939392,1431277568
Immutable 10000 insert,90,152900,8474939392,1431277568
Immutable 10000 insert,91,153800,8474939392,1431277568
Immutable 10000 insert,92,154800,8474939392,1431277568
Immutable 10000 insert,93,155700,8474939392,1431277568
Immutable 10000 insert,94,156600,8474939392,1431277568
Immutable 10000 insert,95,157600,8474939392,1431277568
Immutable 10000 insert,96,158500,8474939392,1431277568
Immutable 10000 insert,97,159400,8474939392,1431277568
Immutable 10000 insert,98,160400,8474939392,1431277568
Immutable 10000 insert,99,161300,8474939392,1431277568
Immutable 10000 insert,100,162200,8474939392,1431277568
Immutable 10000 insert,101,163300,8474939392,1431277568
Immutable 10000 insert,102,164300,8474939392,1431277568
Immutable 10000 insert,103,165300,8474939392,1431277568
Immutable 10000 insert,104,166200,8474939392,1431277568
Immutable 10000 insert,105,167200,8474939392,1431277568
Immutable 10000 insert,106,168100,8474939392,1431277568
Immutable 10000 insert,107,169000,8474939392,1431277568
Immutable 10000 insert,108,170000,8474939392,1431277568
Immutable 10000 insert,109,170900,8474939392,1431277568
Immutable 10000 insert,110,171900,8474939392,1431277568
Immutable 10000 insert,111,172800,8474939392,1431277568
Immutable 10000 insert,112,173700,8474939392,1431277568
Immutable 10000 insert,113,174700,8474939392,1431277568
Immutable 10000 insert,114,175800,8474939392,1431277568
Immutable 10000 insert,115,176700,8474939392,1431277568
Immutable 10000 insert,116,177700,8474939392,1431277568
Immutable 10000 insert,117,178600,8474939392,1431277568
Immutable 10000 insert,118,179500,8474939392,1431277568
Immutable 10000 insert,119,180500,8474939392,1431277568
Immutable 10000 insert,120,181400,8474939392,1431277568
Immutable 10000 insert,121,182300,8474939392,1431277568
Immutable 10000 insert,122,183300,8474939392,1431277568
Immutable 10000 insert,123,184200,8474939392,1431277568
Immutable 10000 insert,124,185100,8474939392,1431277568
Immutable 10000 insert,125,186100,8474939392,1431277568
Immutable 10000 insert,126,187000,8474939392,1431277568
Immutable 10000 insert,127,188100,8474939392,1431277568
Immutable 10000 insert,128,189000,8474939392,1431277568
Immutable 10000 insert,129,190000,8474939392,1431277568
Immutable 10000 insert,130,190900,8474939392,1431277568
Immutable 10000 insert,131,191800,8474939392,1431277568
Immutable 10000 insert,132,192800,8474939392,1431277568
Immutable 10000 insert,133,193700,8474939392,1431277568
Immutable 10000 insert,134,194700,8474939392,1431277568
Immutable 10000 insert,135,195600,8474939392,1431277568
Immutable 10000 insert,136,196500,8474939392,1431277568
Immutable 10000 insert,137,197500,8474939392,1431277568
Immutable 10000 insert,138,198400,8474939392,1431277568
Immutable 10000 insert,139,199500,8474939392,1431277568
Immutable 10000 insert,140,200800,8474939392,1431277568
Immutable 10000 insert,141,201800,8474939392,1431277568
Immutable 10000 insert,142,202700,8474939392,1431277568
Immutable 10000 insert,143,203600,8474939392,1431277568
Immutable 10000 insert,144,204600,8474939392,1431277568
Immutable 10000 insert,145,205500,8474939392,1431277568
Immutable 10000 insert,146,206400,8474939392,1431277568
Immutable 10000 insert,147,207400,8474939392,1431277568
Immutable 10000 insert,148,208300,8474939392,1431277568
Immutable 10000 insert,149,209200,8474939392,1431277568
Immutable 10000 insert,150,210200,8474939392,1431277568
Immutable 10000 insert,151,211100,8474939392,1431277568
Immutable 10000 insert,152,212200,8474939392,1431277568
Immutable 10000 insert,153,213800,8474939392,1431277568
Immutable 10000 insert,154,214800,8474939392,1431277568
Immutable 10000 insert,155,215700,8474939392,1431277568
Immutable 10000 insert,156,216700,8474939392,1431277568
Immutable 10000 insert,157,217600,8474939392,1431277568
Immutable 10000 insert,158,218600,8474939392,1431277568
Immutable 10000 insert,159,219500,8474939392,1431277568
Immutable 10000 insert,160,220400,8474939392,1431277568
Immutable 10000 insert,161,221400,8474939392,1431277568
Immutable 10000 insert,162,222300,8474939392,1431277568
Immutable 10000 insert,163,223200,8474939392,1431277568
