Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
SList 10000 insert,134,133700,8474939392,1644875776,
SList 10000 insert,135,134700,8474939392,1644875776,
SList 10000 insert,136,135600,8474939392,1644875776,
SList 10000 insert,137,136600,8474939392,1644875776,
SList 10000 insert,138,138000,8474939392,1644875776,
SList 10000 insert,139,139000,8474939392,1644875776,
SList 10000 insert,140,140000,8474939392,1644875776,
SList 10000 insert,141,140900,8474939392,1644875776,
SList 10000 insert,142,141900,8474939392,1644875776,
SList 10000 insert,143,142800,8474939392,1644875776,
SList 10000 insert,144,143800,8474939392,1644875776,
SList 10000 insert,145,144700,8474939392,1644875776,
SList 10000 insert,146,145700,8474939392,1644875776,
SList 10000 insert,147,146600,8474939392,1644875776,
SList 10000 insert,148,147600,8474939392,1644875776,
SList 10000 insert,149,148500,8474939392,1644875776,
SList 10000 insert,150,149500,8474939392,1644875776,
SList 10000 insert,151,151100,8474939392,1644875776,
SList 10000 insert,152,152000,8474939392,1644875776,
SList 10000 insert,153,153000,8474939392,1644900352,
SList 10000 insert,154,154000,8474939392,1644883968,
SList 10000 insert,155,155000,8474939392,1644867584,
SList 10000 insert,156,155900,8474939392,1644851200,
SList 10000 insert,157,156900,8474939392,1644847104,
SList 10000 insert,158,157900,8474939392,1644847104,
SList 10000 insert,159,158800,8474939392,1644847104,
SList 10000 insert,160,159800,8474939392,1644847104,
SList 10000 insert,161,160700,8474939392,1644847104,
SList 10000 insert,162,161700,8474939392,1644847104,
SList 10000 insert,163,162600,8474939392,1644847104,
SList 10000 insert,164,163800,8474939392,1644847104,
SList 10000 insert,165,164800,8474939392,1644847104,
SList 10000 insert,166,165700,8474939392,1644847104,
SList 10000 insert,167,166700,8474939392,1644847104,
SList 10000 insert,168,167600,8474939392,1644847104,
SList 10000 insert,169,168600,8474939392,1644847104,
SList 10000 insert,170,169500,8474939392,1644847104,
SList 10000 insert,171,170500,8474939392,1644847104,
SList 10000 insert,172,171400,8474939392,1644847104,
SList 10000 insert,173,172400,8474939392,1644847104,
SList 10000 insert,174,173300,8474939392,1644847104,
SList 10000 insert,175,174300,8474939392,1644847104,
SList 10000 insert,176,175400,8474939392,1644847104,
SList 10000 insert,177,176400,8474939392,1644847104,
SList 10000 insert,178,177300,8474939392,1644847104,
SList 10000 insert,179,178300,8474939392,1644847104,
SList 10000 insert,180,179200,8474939392,1644847104,
SList 10000 insert,181,180200,8474939392,1644847104,
SList 10000 insert,182,181100,8474939392,1644847104,
SList 10000 insert,183,182100,8474939392,1644847104,
SList 10000 insert,184,183000,8474939392,1644847104,
SList 10000 insert,185,184000,8474939392,1644847104,
SList 10000 insert,186,184900,8474939392,1644847104,
SList 10000 insert,187,185900,8474939392,1644847104,
